col_item,lift,l1_dist,sparsity,mean_rel_delta,max_rel_delta,n_queries,segment
GRS373173004,0.0313580547107438,0.448400826446281,0.5995670991735537,0.03701860962809917,0.15006201809917355,242,Structural shift
GRS374003002,0.0226907620242915,0.5034525776518218,0.8014268218623481,0.04282896809716599,0.12407484506072874,247,Structural shift
GRS375183001,0.018509828705357143,0.5545058214285714,0.87053584375,0.04232478299107143,0.12309071370535715,224,Structural shift
GRS382073005,0.006305181638418079,0.4611245197740113,0.46623618644067794,0.006748177853107345,0.03065668627118644,177,Actionable
GRS384003000,0.018423645373831773,0.47230576939252333,0.9270138691588785,0.04390882397196262,0.11636900247663552,214,Structural shift
GRS385113006,0.02616163770212766,0.5740018723404255,0.8520771191489361,0.02688332859574468,0.09385217723404254,235,Structural shift
GRS387503006,0.0138390077734375,1.482041666640625,0.78980670703125,0.0322277038671875,0.1077284562890625,256,Structural shift
GRS392193009,0.03512317776699029,0.3010245954368932,0.4431344563106796,0.04061762223300971,0.20695972150485437,206,Actionable
GRS393503008,0.005590916929460581,5.925551977883817,0.9620628713692947,0.018327533900414937,0.05528982066390041,241,Structural shift
GRS395363005,0.0223212175984252,1.5626828346456694,0.9105737677165355,0.019425683267716536,0.05486201295275591,254,Structural shift
GRS396003006,0.013894480739130435,0.26974168695652173,0.9014493739130435,0.035502762956521744,0.10282342256521738,230,Structural shift
GRS397003005,0.01735396515625,0.79114343765625,0.8895090390625,0.0211451716015625,0.062358375,256,Structural shift
GRS402003008,0.0157568426,5.58471615996,0.916000084,0.02994679992,0.08432741016,250,Structural shift
GRS403003007,0.01016009624,0.91327296,0.9386667280000001,0.025878718800000002,0.07531056752000001,250,Structural shift
GRS404003006,0.011420822827868852,1.04106631147541,0.8834895778688525,0.022671513155737705,0.06315159618852459,244,Structural shift
GRS407183003,0.011057708253968254,1.1825003175396824,0.7825020674603175,0.028152494047619048,0.08540835706349206,252,Structural shift
GRS412503005,0.03702584842105263,0.27676605081871347,0.9317739473684211,0.03218577567251462,0.09143559812865497,171,Structural shift
GRS413313008,0.024052432899159665,0.6383778151260504,0.8899560924369748,0.03918563075630252,0.10675615848739496,238,Structural shift
GRS419003009,0.007459094497991968,5.374578313253012,0.9397590963855421,0.01975533819277108,0.055007334899598394,249,Structural shift
GRS424003002,0.02436694717299578,2.1870965965400844,0.858348535864979,0.030001562320675104,0.08994733084388186,237,Structural shift
GRS426003000,0.008424897215686275,5.345596078431372,0.9656396235294117,0.018041338666666667,0.05084873650980393,255,Structural shift
GRS427003009,0.010375573,6.030346363636364,0.7703465454545454,0.010909615409090908,0.036915903136363636,220,Structural shift
GRS428003008,0.01676041835443038,1.2799862729535867,0.8816557341772151,0.013201648270042195,0.04112092172995781,237,Structural shift
GRS432003028,0.021642361782945735,1.5540257366279069,0.9126985,0.035182316744186044,0.10162443430232558,258,Structural shift
GRS433003019,0.009585035058365757,2.518251102412451,0.7552345875486381,0.016722266770428016,0.04715899817120623,257,Structural shift
GRS434003000,0.014316456748971194,5.294158504897119,0.9659024444444444,0.028340087366255144,0.08790837230452674,243,Structural shift
GRS438003006,0.027229271875,2.1675519789453124,0.77846,0.0371505527734375,0.114266223125,256,Structural shift
GRS439003005,0.02611642044,0.44849520000000004,0.838285876,0.03710515028,0.11569048436,250,Structural shift
GRS446003014,0.03344283827731093,0.10904363025210083,0.33213282773109243,0.028161794873949576,0.1443244649159664,238,Actionable
GRS449003003,0.022721110840707964,0.20203491150442476,0.9188791371681416,0.03236640725663717,0.09737424862831859,226,Structural shift
GRS461003006,0.019478039446640318,0.6607472990118577,0.8204406086956522,0.02852821723320158,0.08810759177865614,253,Structural shift
GRS469003024,0.01712739024390244,3.5238373984146345,0.8708866951219512,0.02091654443089431,0.061533439959349595,246,Structural shift
GRS470003013,0.010314338986784142,4.388136270088106,0.8934341321585904,0.011329677753303964,0.035983823392070485,227,Structural shift
GRS472003011,0.022839042809917356,1.735671487603306,0.9157812727272727,0.028052935165289256,0.08525313714876033,242,Structural shift
GRS473003002,0.042168657171314745,0.8861621780876494,0.8802884900398407,0.031207581673306773,0.09193294254980079,251,Structural shift
GRS474003001,0.05033377147783251,0.4549388768965517,0.9223552266009852,0.03130963443349753,0.07660179906403941,203,Structural shift
GRS475003018,0.03797701330612245,1.4757794014285714,0.9226434204081633,0.04849051204081632,0.1261871509387755,245,Structural shift
GRS477003008,0.012185571828793774,0.9320610894941634,0.831943840466926,0.024183327665369653,0.07716569031128405,257,Structural shift
GRS484003009,0.028246434285714286,2.4796526047899157,0.8645459537815126,0.05294955134453782,0.14772597021008402,238,Structural shift
GRS487003006,0.012357314117647058,0.22040196078431373,0.6834735441176472,0.011528493578431373,0.040400674313725495,204,Structural shift
GRS488003005,0.03390754888,1.2283422934000001,0.903428668,0.03257973468,0.09847894992,250,Structural shift
GRS489003004,0.01673668965665236,0.2181507926609442,0.8953608240343347,0.023083414463519313,0.0749906765665236,233,Structural shift
GRS495003006,0.019493714049586778,2.399239118595041,0.9081071363636363,0.021636867314049586,0.06372892524793389,242,Structural shift
GRS496003005,0.008990976991869917,7.336909268292683,0.9198607073170731,0.025280597560975608,0.06597338857723577,246,Structural shift
GRS497003012,0.0123936936,0.9107086221333334,0.8641271111111111,0.028237979688888887,0.08114137697777778,225,Structural shift
GRS498003003,0.058910544075630254,4.158378795462185,0.9267707815126051,0.0467170712184874,0.12748849844537816,238,Structural shift
GRS500003009,0.008649872329317269,0.8201040963855422,0.5886402690763052,0.022948772530120485,0.08746868224899598,249,Structural shift
GRS501003008,0.03346667352631579,0.3171973684210526,0.5626566526315789,0.021342132684210525,0.08288232663157895,190,Structural shift
GRS502003007,0.01902764539748954,0.3346518270711297,0.6738395188284518,0.027052808033472802,0.10134263288702929,239,Structural shift
GRS504003021,0.014231088237704918,1.7424450821311475,0.7099923852459017,0.01616248954918033,0.058235310491803284,244,Structural shift
GRS505003004,0.02735920464,3.64589423088,0.9773333559999999,0.037123396399999994,0.10158290328,250,Structural shift
GRS506003003,0.013431458253968255,1.1829862433333334,0.7377174761904762,0.02477173396825397,0.08868577083333333,252,Structural shift
GRS509003018,0.012987573333333332,2.0425108225108226,0.4025973116883117,0.011861948051948052,0.0666213667099567,231,Actionable
GRS510003015,0.03366167062761507,0.5161465830125523,0.8025504267782426,0.03609722037656903,0.09366204351464434,239,Structural shift
